Indian rank,Name,Gender,Title,Standard_Rating,Rapid_rating,Blitz_rating
361,Gokhale  Raghunandan V,M,CM,2033,2013,1980
362,Jain  Naveen,M,CM,2032,1994,2036
363,Anusha N L V,F,WFM,2030,1904,1991
364,Bommini Mounika Akshaya,F,WFM,2029,1571,1610
365,Swati  Mohota,F,WFM,2027,2032,0
366,Agrawal  Kiran,F,WFM,2026,0,0
367,Pandey Srishti,F,WFM,2026,1962,1816
368,Gopal  K.N.,M,CM,2022,2161,2102
369,Hegde  Ravi Gopal,M,IM,2018,2077,2043
370,Nilavoli  Hariharan,F,WFM,2014,0,0
371,Anuprita  Patil,F,WFM,2013,0,2047
372,Uthra  P.,F,WFM,2007,0,0
373,Bhagwat  Vinod,M,CM,2002,1937,2115
374,Jennitha  Anto K.,F,WIM,2001,2031,2010
375,Chandreyee  Hajra,F,WIM,2001,1723,1721
376,Joshi  S G,M,FM,1998,0,0
377,Jain Nityata,F,WFM,1993,1785,1549
378,Dhar-Barua  Saheli,F,WIM,1985,1987,0
379,Meghna  C H,F,WFM,1985,1717,1733
380,Makhija  Aashna,F,WIM,1958,1611,1781
381,Bhagyashree Patil,F,WFM,1958,1694,1648
382,Patil  Mitali,F,WFM,1952,0,1936
383,Bidhar  Rutumbara,F,WFM,1952,1723,1736
384,Dhyana Patel,F,WFM,1947,1740,1898
385,Chilukuri Sai Varshith,M,FM,1943,1309,1770
386,Gokhale  Anupama,F,WIM,1925,1945,0
387,Bristy Mukherjee,F,WCM,1924,1599,1661
388,Ananya  Suresh,F,WCM,1916,1763,1836
389,Kotepalli  Sai Nirupama,F,WFM,1914,0,0
390,Venkata  Krishna Karthik K,M,FM,1903,0,0
391,Sharang Sanjeev Kapoor,M,CM,1895,0,0
392,Mishra Anwesha,F,WFM,1888,1569,1619
393,Sweety Patel,F,WCM,1874,0,0
394,Potluri Supreetha,F,WFM,1872,1630,1738
395,Rajasurya  J.,F,WFM,1865,0,1896
